date,unit,nominal
2023-10-26,1,93.1507
2023-10-27,1,93.5616
2023-10-28,1,93.2174
2023-10-31,1,93.2435
2023-11-01,1,92.0226
2023-11-02,1,93.2801
2023-11-03,1,93.173
2023-11-04,1,93.0351
2023-11-08,1,92.4151
2023-11-09,1,92.1973
2023-11-10,1,91.9266
2023-11-11,1,92.0535
2023-11-14,1,92.1185
2023-11-15,1,91.257
2023-11-16,1,89.4565
2023-11-17,1,88.9466
2023-11-18,1,89.1237
2023-11-21,1,88.4954
2023-11-22,1,87.8701
2023-11-23,1,88.1648
2023-11-24,1,88.1206
2023-11-25,1,88.8133
2023-11-28,1,88.7045
2023-11-29,1,88.6102
2023-11-30,1,88.8841
2023-12-01,1,88.5819
2023-12-02,1,89.7619
2023-12-05,1,90.6728
2023-12-06,1,91.5823
2023-12-07,1,92.7826
2023-12-08,1,92.5654
2023-12-09,1,91.6402
2023-12-12,1,90.9846
2023-12-13,1,90.2158
2023-12-14,1,89.8926
2023-12-15,1,89.6741
2023-12-16,1,89.6966
2023-12-19,1,90.4162
2023-12-20,1,90.087
2023-12-21,1,90.4056
2023-12-22,1,91.7062
2023-12-23,1,91.9389
2023-12-26,1,91.969
2023-12-27,1,91.7069
2023-12-28,1,91.7051
2023-12-29,1,90.3041
2023-12-30,1,89.6883
2024-01-10,1,90.404
2024-01-11,1,89.3939
2024-01-12,1,88.7818
2024-01-13,1,88.1324
2024-01-16,1,87.6772
2024-01-17,1,87.6457
2024-01-18,1,88.354
2024-01-19,1,88.661
2024-01-20,1,88.5896
2024-01-23,1,87.9724
2024-01-24,1,87.9199
2024-01-25,1,88.2829
2024-01-26,1,88.6562
2024-01-27,1,89.5159
2024-01-30,1,89.609
2024-01-31,1,89.2887
2024-02-01,1,89.6678
2024-02-02,1,90.2299
2024-02-03,1,90.6626
2024-02-06,1,91.2434
2024-02-07,1,90.6842
2024-02-08,1,91.1514
2024-02-09,1,91.2561
2024-02-10,1,90.8901
2024-02-13,1,91.0758
2024-02-14,1,91.2057
2024-02-15,1,91.4316
2024-02-16,1,91.8237
2024-02-17,1,92.5492
2024-02-20,1,92.4102
2024-02-21,1,92.349
2024-02-22,1,92.4387
2024-02-23,1,92.7519
2024-02-27,1,92.6321
2024-02-28,1,92.0425
2024-02-29,1,91.8692
2024-03-01,1,90.8423
2024-03-02,1,91.3336
2024-03-05,1,91.3534
2024-03-06,1,91.1604
2024-03-07,1,90.3412
2024-03-08,1,90.7493
2024-03-12,1,90.6252
2024-03-13,1,90.8818
2024-03-14,1,91.5449
2024-03-15,1,91.6359
2024-03-16,1,91.87
2024-03-19,1,91.9829
2024-03-20,1,92.2243
2024-03-21,1,92.6861
2024-03-22,1,91.9499
2024-03-23,1,92.6118
2024-03-26,1,92.7761
2024-03-27,1,92.5745
2024-03-28,1,92.5919
2024-03-29,1,92.2628
2024-03-30,1,92.366
2024-04-02,1,92.2914
2024-04-03,1,92.5254
2024-04-04,1,92.3892
2024-04-05,1,92.3058
2024-04-06,1,92.4155
2024-04-09,1,92.581
2024-04-10,1,92.7463
2024-04-11,1,93.2198
2024-04-12,1,93.7196
2024-04-13,1,93.4419
2024-04-16,1,93.5891
2024-04-17,1,94.0742
2024-04-18,1,94.3242
2024-04-19,1,94.0922
2024-04-20,1,93.4409
2024-04-23,1,93.2519
2024-04-24,1,93.2918
2024-04-25,1,92.5058
2024-04-26,1,92.1314
2024-04-27,1,92.0134
2024-04-28,1,91.7791
2024-05-03,1,92.0538
2024-05-04,1,91.6918
2024-05-07,1,91.3124
2024-05-08,1,91.1231
2024-05-09,1,91.8239
2024-05-14,1,91.633
2024-05-15,1,91.3591
2024-05-16,1,91.2573
2024-05-17,1,90.9239
2024-05-18,1,90.9873
2024-05-21,1,90.6537
2024-05-22,1,90.4082
2024-05-23,1,90.1887
2024-05-24,1,90.2486
2024-05-25,1,89.7026
2024-05-28,1,88.6852
2024-05-29,1,88.4375
2024-05-30,1,89.2589
2024-05-31,1,89.7869
2024-06-01,1,90.1915
2024-06-04,1,89.3755
2024-06-05,1,88.7574
2024-06-06,1,88.7436
2024-06-07,1,88.7604
2024-06-08,1,88.7606
2024-06-11,1,88.9944
2024-06-12,1,89.0214
2024-06-14,1,88.208
2024-06-15,1,89.0658
2024-06-18,1,89.0499
2024-06-19,1,87.0354
2024-06-20,1,82.6282
2024-06-21,1,85.4176
2024-06-22,1,87.9595
2024-06-25,1,87.373
2024-06-26,1,87.277
2024-06-27,1,87.8064
2024-06-28,1,84.964
2024-06-29,1,85.748
2024-07-02,1,87.2972
2024-07-03,1,87.9921
2024-07-04,1,87.9506
2024-07-05,1,88.1205
2024-07-06,1,88.1348
2024-07-09,1,88.1688
2024-07-10,1,88.0031
2024-07-11,1,87.8551
2024-07-12,1,87.988
2024-07-13,1,87.7427
2024-07-16,1,87.8077
2024-07-17,1,88.2824
2024-07-18,1,88.0872
2024-07-19,1,87.8754
2024-07-20,1,88.0206
2024-07-23,1,87.7805
2024-07-24,1,87.299
2024-07-25,1,86.5502
2024-07-26,1,85.41
2024-07-27,1,85.565
2024-07-30,1,86.5554
2024-07-31,1,86.33
2024-08-01,1,86.1091
2024-08-02,1,85.7833
2024-08-03,1,85.7024
2024-08-06,1,84.9471
2024-08-07,1,85.1646
2024-08-08,1,85.9543
2024-08-09,1,86.5621
2024-08-10,1,87.992
2024-08-13,1,89.9475
2024-08-14,1,92.6592
2024-08-15,1,90.0055
2024-08-16,1,88.796
2024-08-17,1,88.9062
2024-08-20,1,89.5428
2024-08-21,1,90.6944
2024-08-22,1,91.6862
2024-08-23,1,91.2881
2024-08-24,1,91.6012
2024-08-27,1,91.7745
2024-08-28,1,91.4807
2024-08-29,1,91.4449
2024-08-30,1,91.4548
2024-08-31,1,91.1868
2024-09-03,1,90.0013
2024-09-04,1,88.6118
2024-09-05,1,88.9288
2024-09-06,1,89.7044
2024-09-07,1,89.8225
2024-09-10,1,90.3853
2024-09-11,1,91.1127
2024-09-12,1,91.2653
2024-09-13,1,91.1096
2024-09-14,1,90.9345
2024-09-17,1,91.1423
2024-09-18,1,91.4292
2024-09-19,1,91.6712
2024-09-20,1,92.6962
2024-09-21,1,92.5848
2024-09-24,1,92.92
2024-09-25,1,92.8622
2024-09-26,1,92.388
2024-09-27,1,92.4074
2024-09-28,1,92.7126
2024-10-01,1,93.2221
2024-10-02,1,93.3581
2024-10-03,1,94.5054
2024-10-04,1,95.0262
2024-10-05,1,94.87
2024-10-08,1,96.0649
2024-10-09,1,96.1079
2024-10-10,1,96.9483
2024-10-11,1,97.2394
2024-10-12,1,96.0686
2024-10-15,1,96.1021
2024-10-16,1,97.0121
2024-10-17,1,97.2568
2024-10-18,1,97.149
2024-10-19,1,96.4172
2024-10-22,1,96.0924
2024-10-23,1,96.5918
2024-10-24,1,96.6379
2024-10-25,1,96.7402
2024-10-26,1,96.6657
2024-10-29,1,97.23
2024-10-30,1,97.3261
2024-10-31,1,97.053
2024-11-01,1,97.0226
2024-11-02,1,97.4402
2024-11-03,1,97.5499
2024-11-06,1,98.0562
2024-11-07,1,98.2236
2024-11-08,1,98.0726
2024-11-09,1,97.8335
2024-11-12,1,97.955
2024-11-13,1,97.9559
2024-11-14,1,98.3657
2024-11-15,1,99.018
2024-11-16,1,99.9971
2024-11-19,1,99.943
2024-11-20,1,100.0348
2024-11-21,1,100.2192
2024-11-22,1,100.6798
2024-11-23,1,102.5761
2024-11-26,1,103.7908
2024-11-27,1,105.0604
2024-11-28,1,108.0104
2024-11-29,1,109.5782
2024-11-30,1,107.7409
2024-12-03,1,107.1758
2024-12-04,1,106.1878
2024-12-05,1,104.2361
2024-12-06,1,103.3837
2024-12-07,1,99.4215
2024-12-10,1,99.3759
2024-12-11,1,100.0324
2024-12-12,1,103.2707
2024-12-13,1,103.95
2024-12-14,1,103.4305
2024-12-17,1,102.9125
2024-12-18,1,102.9979
2024-12-19,1,102.7763
2024-12-20,1,103.4207
2024-12-21,1,102.3438
2024-12-24,1,101.6143
2024-12-25,1,99.8729
2024-12-26,1,99.6125
2024-12-27,1,99.2295
2024-12-28,1,100.5281
2024-12-29,1,101.6797
2025-01-10,1,102.2911
2025-01-11,1,101.9146
2025-01-14,1,102.7081
2025-01-15,1,103.438
2025-01-16,1,102.8078
2025-01-17,1,102.3762
2025-01-18,1,102.4137
2025-01-21,1,101.9579
2025-01-22,1,99.9282
2025-01-23,1,98.2804
2025-01-24,1,99.0978
2025-01-25,1,98.2636
2025-01-28,1,97.132
2025-01-29,1,97.9658
2025-01-30,1,98.0126
2025-01-31,1,98.0062
2025-02-01,1,97.8107
2025-02-04,1,99.9433
2025-02-05,1,98.5336
2025-02-06,1,98.0556
2025-02-07,1,96.9104
2025-02-08,1,97.2762
2025-02-11,1,96.7821
2025-02-12,1,95.8024
2025-02-13,1,94.0485
2025-02-14,1,91.0313
2025-02-15,1,90.3099
2025-02-18,1,91.4347
2025-02-19,1,91.3398
2025-02-20,1,90.4268
2025-02-21,1,88.5103
2025-02-22,1,88.1676
2025-02-25,1,88.2065
2025-02-26,1,86.6318
2025-02-27,1,85.9279
2025-02-28,1,87.6967
2025-03-01,1,88.2568
2025-03-04,1,89.2497
2025-03-05,1,89.2448
2025-03-06,1,89.7878
2025-03-07,1,89.5724
2025-03-08,1,89.1362
2025-03-11,1,88.3872
2025-03-12,1,86.5669
2025-03-13,1,86.6204
2025-03-14,1,86.619
2025-03-15,1,85.5694
2025-03-18,1,84.3059
2025-03-19,1,81.5018
2025-03-20,1,82.8487
2025-03-21,1,84.3955
2025-03-22,1,84.64
2025-03-25,1,83.8737
2025-03-26,1,84.193
2025-03-27,1,84.2065
2025-03-28,1,83.8347
2025-03-29,1,83.6813
2025-04-01,1,85.4963
2025-04-02,1,84.8707
2025-04-03,1,84.5522
2025-04-04,1,84.383
2025-04-05,1,84.2774
2025-04-08,1,86.1891
2025-04-09,1,85.4641
2025-04-10,1,86.0923
2025-04-11,1,85.0159
2025-04-12,1,84.004
2025-04-15,1,82.7671
2025-04-16,1,82.3003
2025-04-17,1,82.5892
2025-04-18,1,82.02
2025-04-19,1,81.1371
2025-04-22,1,80.7597
2025-04-23,1,81.462
2025-04-24,1,82.3637
2025-04-25,1,82.8559
2025-04-26,1,82.6549
2025-04-29,1,82.5467
2025-04-30,1,81.5616
2025-05-01,1,81.4933
2025-05-06,1,81.9137
2025-05-07,1,80.9644
2025-05-08,1,80.8612
2025-05-13,1,80.8883
2025-05-14,1,80.55
2025-05-15,1,80.2237
2025-05-16,1,80.3134
2025-05-17,1,80.7689
2025-05-20,1,80.4137
2025-05-21,1,80.3075
2025-05-22,1,79.753
2025-05-23,1,79.7357
2025-05-24,1,79.7108
2025-05-27,1,79.6588
2025-05-28,1,79.6176
2025-05-29,1,79.6037
2025-05-30,1,78.497
2025-05-31,1,78.6171
2025-06-03,1,79.1285
2025-06-04,1,78.8549
2025-06-05,1,78.5025
2025-06-06,1,79.1272
2025-06-07,1,79.1703
2025-06-10,1,79.1543
2025-06-11,1,78.6003
2025-06-12,1,79.0028
2025-06-17,1,78.5067
2025-06-18,1,78.7135
2025-06-19,1,78.7174
2025-06-20,1,78.4839
2025-06-21,1,78.5016
2025-06-24,1,78.2923
2025-06-25,1,78.3892
2025-06-26,1,78.1959
2025-06-27,1,78.2117
2025-06-28,1,78.4685
2025-07-01,1,78.5284
2025-07-02,1,78.4181
2025-07-03,1,78.654
2025-07-04,1,78.7831
2025-07-05,1,78.8354
2025-07-08,1,78.7185
2025-07-09,1,78.1682
2025-07-10,1,78.1727
2025-07-11,1,77.9029
2025-07-12,1,77.8855
2025-07-15,1,78.3722
2025-07-16,1,77.9584
2025-07-17,1,77.9585
2025-07-18,1,78.1856
2025-07-19,1,78.3129
2025-07-22,1,78.3274
2025-07-23,1,78.0882
2025-07-24,1,78.4477
2025-07-25,1,78.8623
2025-07-26,1,79.5527
2025-07-29,1,79.5782
2025-07-30,1,82.2197
2025-07-31,1,81.8347
2025-08-01,1,80.3163
2025-08-02,1,80.3289
2025-08-05,1,79.6736
2025-08-06,1,80.049
2025-08-07,1,80.1914
2025-08-08,1,79.3847
2025-08-09,1,79.7796
2025-08-12,1,79.6677
2025-08-13,1,79.8714
2025-08-14,1,79.6032
2025-08-15,1,79.7653
2025-08-16,1,80.0224
2025-08-19,1,80.4256
2025-08-20,1,80.3466
2025-08-21,1,80.1045
2025-08-22,1,80.2548
2025-08-23,1,80.7498
2025-08-26,1,80.6842
2025-08-27,1,80.5268
2025-08-28,1,80.4421
2025-08-29,1,80.2918
2025-08-30,1,80.3316
2025-09-02,1,80.4261
2025-09-03,1,80.5947
2025-09-04,1,80.8488
2025-09-05,1,81.2977
2025-09-06,1,81.5556
2025-09-09,1,82.3397
2025-09-10,1,83.2425
2025-09-11,1,84.9211
2025-09-12,1,85.6647
2025-09-13,1,84.3798
2025-09-16,1,83.0718
2025-09-17,1,82.8359
2025-09-18,1,82.9987
2025-09-19,1,83.1725
2025-09-20,1,83.5904
2025-09-23,1,84.0186
2025-09-24,1,83.3506
2025-09-25,1,83.9914
2025-09-26,1,83.6069
2025-09-27,1,83.6118
2025-09-30,1,82.8676
2025-10-01,1,82.6084
2025-10-02,1,81.4967
2025-10-03,1,81.0085
2025-10-04,1,81.8969
2025-10-07,1,83.0
2025-10-08,1,81.9349
2025-10-09,1,81.5478
2025-10-10,1,81.4103
2025-10-11,1,81.1898
2025-10-14,1,80.8548
2025-10-15,1,79.9589
2025-10-16,1,78.839
2025-10-17,1,79.0839
2025-10-18,1,80.9834
2025-10-21,1,81.3582
2025-10-22,1,81.3475
2025-10-23,1,81.6549
2025-10-24,1,81.269
2025-10-25,1,80.9713
2025-10-28,1,78.9848
2025-10-29,1,79.8174
2025-10-30,1,79.4715
2025-10-31,1,80.5037
2025-11-01,1,80.9756
2025-11-02,1,80.8861
2025-11-06,1,81.1885
2025-11-07,1,81.3765
2025-11-08,1,81.2257
2025-11-11,1,81.0132
2025-11-12,1,81.3562
2025-11-13,1,81.2852
2025-11-14,1,80.601
2025-11-15,1,81.1276
2025-11-18,1,81.1302
2025-11-19,1,81.0547
2025-11-20,1,80.9448
2025-11-21,1,80.7321
2025-11-22,1,79.0246
2025-11-25,1,78.9202
2025-11-26,1,78.9615
2025-11-27,1,78.5941
2025-11-28,1,78.2503
2025-11-29,1,78.2284
2025-12-02,1,77.7027
2025-12-03,1,77.4631
2025-12-04,1,77.9556
2025-12-05,1,76.9708
2025-12-06,1,76.0937
2025-12-09,1,77.2733
2025-12-10,1,76.8084
2025-12-11,1,77.8998
2025-12-12,1,79.3398
2025-12-13,1,79.7296
2025-12-16,1,79.4495
2025-12-17,1,79.4302
