date,aluminium,copper,lead,nickel,zink,tin
2022-03-23,3560.0,10311.0,2336.5,32355,4018.0,42000
2022-03-24,3664.0,10421.0,2350.0,37200,4140.0,42425
2022-03-25,3583.0,10280.0,2346.0,35550,4073.0,42650
2022-03-28,3606.0,10227.0,2369.5,34050,4064.0,42925
2022-03-29,3583.0,10350.0,2394.0,33100,4101.0,42750
2022-03-30,3508.0,10390.5,2402.0,32750,4134.5,43900
2022-03-31,3503.0,10337.0,2433.0,33400,4260.0,44200
2022-04-01,3483.0,10247.0,2447.0,32800,4332.0,44500
2022-04-04,3444.0,10301.5,2435.0,33690,4471.0,45500
2022-04-05,3415.0,10426.0,2419.0,33750,4310.0,45400
2022-04-06,3443.5,10350.5,2389.0,33600,4306.0,45175
2022-04-07,3346.0,10292.0,2405.0,33500,4250.0,44300
2022-04-08,3395.0,10390.0,2425.0,34100,4280.0,44295
2022-04-11,3234.5,10235.5,2409.0,32925,4372.0,43325
2022-04-12,3214.5,10201.0,2418.0,32450,4345.0,43650
2022-04-13,3207.0,10290.5,2450.0,33000,4515.0,43450
2022-04-14,3237.5,10277.0,2471.0,33250,4472.0,43325
2022-04-19,3312.0,10381.0,2425.0,33700,4530.0,43600
2022-04-20,3240.0,10215.0,2425.0,33800,4510.0,43400
2022-04-21,3262.0,10268.0,2414.0,33775,4485.0,43275
2022-04-22,3244.0,10230.5,2400.0,33850,4515.0,42200
2022-04-25,3090.0,9919.0,2368.0,32650,4279.5,40475
2022-04-26,3102.5,9912.5,2359.0,32825,4315.0,41250
2022-04-27,3100.0,9910.0,2320.0,33300,4319.5,40790
2022-04-28,3065.5,9812.0,2280.0,33275,4230.5,40600
2022-04-29,3039.0,9820.5,2279.0,32430,4212.0,40800
2022-05-03,2911.5,9511.0,2268.0,30910,4045.0,41300
2022-05-04,2929.0,9474.0,2275.0,30385,3955.0,40700
2022-05-05,2917.0,9541.0,2305.0,30200,3993.0,40775
2022-05-06,2832.5,9428.0,2231.0,29930,3829.0,40585
2022-05-09,2708.0,9160.0,2129.0,28400,3655.0,38000
2022-05-10,2677.0,9350.0,2117.0,27760,3642.0,36700
2022-05-11,2737.0,9367.0,2107.0,27800,3660.0,35700
2022-05-12,2688.0,9018.5,2073.0,27600,3541.0,33875
2022-05-13,2723.0,9064.0,2064.0,27425,3500.0,34375
2022-05-16,2791.0,9270.0,2094.0,26105,3583.5,35000
2022-05-17,2836.0,9396.0,2102.0,26300,3687.0,34325
2022-05-18,2845.0,9264.5,2077.0,26180,3646.5,33925
2022-05-19,2826.0,9287.0,2033.0,26125,3647.5,33900
2022-05-20,2931.0,9477.0,2146.0,27950,3755.0,34705
2022-05-23,2963.0,9500.5,2167.0,26800,3777.0,34800
2022-05-24,2881.0,9460.5,2181.5,26280,3769.0,34200
2022-05-25,2829.5,9287.0,2121.5,26725,3750.0,34300
2022-05-26,2825.5,9359.0,2106.0,27550,3744.0,33725
2022-05-27,2823.0,9383.0,2091.5,27850,3815.0,34050
2022-05-30,2863.0,9520.5,2184.0,29975,3976.0,35000
2022-05-31,2816.5,9500.5,2176.0,28700,3978.0,34900
2022-06-01,2701.5,9455.0,2143.5,27710,3896.0,35250
2022-06-06,2742.0,9712.0,2181.0,29400,3913.0,35900
2022-06-07,2715.0,9612.0,2169.0,29050,3745.5,36200
2022-06-08,2765.5,9692.0,2225.0,28860,3822.0,37000
2022-06-09,2752.5,9630.0,2198.0,28055,3792.0,37200
2022-06-10,2695.0,9537.0,2151.0,27570,3755.0,36550
2022-06-13,2589.5,9290.0,2102.0,26390,3607.0,34500
2022-06-14,2588.0,9263.0,2075.0,25500,3661.0,31000
2022-06-15,2580.0,9257.0,2082.0,25650,3701.0,32850
2022-06-16,2500.5,9105.0,2067.0,25425,3636.0,32450
2022-06-17,2474.0,9101.0,2073.0,25435,3580.0,32600
2022-06-20,2462.0,8875.0,2046.0,25230,3572.0,31025
2022-06-21,2519.5,9000.0,2080.5,25540,3721.0,31560
2022-06-22,2455.5,8729.0,2040.0,24975,3699.5,29525
2022-06-23,2480.0,8578.0,1985.0,24110,3677.0,26850
2022-06-24,2436.0,8280.5,1896.0,22900,3540.0,25050
2022-06-27,2453.0,8353.0,1982.0,23200,3450.0,27500
2022-06-28,2500.0,8502.0,1989.5,23900,3449.5,28150
2022-06-29,2452.0,8446.0,1955.0,24750,3410.0,27325
2022-06-30,2397.0,8245.0,1907.0,23100,3251.5,27050
2022-07-01,2384.0,7975.5,1919.0,21650,3125.0,27000
2022-07-04,2431.5,8036.0,1947.0,22685,3170.0,27195
2022-07-05,2374.0,7807.0,1932.5,21925,3041.0,25700
2022-07-06,2358.0,7525.5,1981.5,22225,3060.0,25300
2022-07-07,2417.5,7835.0,2015.0,22025,3162.0,25625
2022-07-08,2399.5,7790.0,1948.0,21255,3151.0,25800
2022-07-11,2417.0,7623.0,1940.0,21500,3122.0,25800
2022-07-12,2358.0,7370.5,1945.0,21450,3137.0,25700
2022-07-13,2343.0,7267.0,1981.0,21700,3060.5,24900
2022-07-14,2329.0,7216.0,1891.0,20335,2972.0,25600
2022-07-15,2320.5,7000.0,1925.0,19100,2921.0,23600
2022-07-18,2377.5,7320.0,1994.0,20200,3032.0,24010
2022-07-19,2412.0,7281.5,1972.0,21350,3045.0,24900
2022-07-20,2456.5,7371.0,2032.0,21300,3090.0,25000
2022-07-21,2426.0,7231.5,1996.0,21200,3005.0,24475
2022-07-22,2460.0,7372.0,2005.0,21530,3045.0,24700
2022-07-25,2431.5,7448.0,2021.0,22550,3050.0,25200
2022-07-26,2437.0,7591.5,2004.0,22320,3140.0,25300
2022-07-27,2390.5,7552.0,2016.5,21300,3116.0,24150
2022-07-28,2458.0,7712.0,2013.0,21500,3246.0,24275
2022-07-29,2452.0,7800.5,2023.0,22050,3351.0,24405
2022-08-01,2469.5,7930.5,2057.0,24025,3405.5,25795
2022-08-02,2448.5,7819.0,2042.0,22825,3445.0,24700
2022-08-03,2403.0,7774.0,2021.0,22000,3355.0,24350
2022-08-04,2374.0,7642.0,2019.5,22035,3431.0,24600
2022-08-05,2447.5,7830.5,2092.0,22170,3550.0,24755
2022-08-08,2435.5,7835.0,2140.5,21725,3507.0,23100
2022-08-09,2488.0,7971.5,2183.0,21355,3577.0,24495
2022-08-10,2462.5,7976.0,2175.0,21330,3632.0,23850
2022-08-11,2498.0,8140.0,2185.5,23110,3727.0,24875
2022-08-12,2468.5,8065.0,2176.0,23225,3672.0,25010
2022-08-15,2389.5,7865.5,2175.0,21850,3621.0,24300
2022-08-16,2442.0,7992.0,2192.0,22500,3877.0,24995
2022-08-17,2414.0,7955.0,2141.0,22035,3635.5,24950
2022-08-18,2412.0,8020.0,2126.0,21850,3574.0,24550
2022-08-19,2376.0,8051.0,2070.0,21575,3532.0,24950
2022-08-22,2387.5,8041.0,2032.0,21810,3550.0,24500
2022-08-23,2438.5,8100.5,2005.0,21780,3520.0,24545
2022-08-24,2422.0,8031.5,1958.0,21350,3561.0,24455
2022-08-25,2442.5,8155.0,1997.0,21250,3622.0,24650
2022-08-26,2495.0,8315.0,1997.5,21510,3678.0,24450
2022-08-30,2406.5,7910.5,1979.0,21385,3592.0,23775
2022-08-31,2368.5,7721.0,1950.0,21255,3540.0,23600
2022-09-01,2306.0,7702.0,1915.0,20525,3300.0,21625
