"Avg(CNY/mt,VAT included)","Avg With Rate(USD/mt,VAT included)"
242000.0,33362.74
242000.0,33441.12
242000.0,33343.9
242000.0,33325.53
242000.0,33390.36
242000.0,33496.66
242000.0,33501.3
239000.0,33063.11
236500.0,32744.44
234000.0,32353.51
232500.0,32137.23
229500.0,31792.87
227500.0,31491.81
225500.0,31352.1
225500.0,31312.92
219500.0,30407.56
216500.0,30042.32
211500.0,29307.43
206500.0,28676.57
200500.0,27856.89
200500.0,27860.77
195500.0,27117.0
195500.0,27149.01
195500.0,27109.48
195500.0,27154.66
195500.0,27147.12
195500.0,27124.52
192500.0,26691.63
190500.0,26467.52
190500.0,26478.56
190500.0,26508.04
190500.0,26496.97
190500.0,26508.04
190500.0,26522.8
190500.0,26554.22
190500.0,26515.42
190500.0,26508.04
190500.0,26513.57
190500.0,26473.04
190500.0,26460.17
190500.0,26452.82
190500.0,26493.29
190500.0,26463.85
190500.0,26456.5
190500.0,26474.88
190500.0,26500.66
190500.0,26506.19
190500.0,26574.97
190500.0,26537.58
190500.0,26508.04
190500.0,26471.2
190500.0,26489.61
190500.0,26416.14
190500.0,26381.02
190500.0,26471.2
190500.0,26432.63
190500.0,26452.82
190500.0,26454.66
190500.0,26452.82
190500.0,26441.81
190500.0,26460.17
190500.0,26489.61
190500.0,26460.17
190500.0,26452.82
190500.0,26445.48
190500.0,26439.97
187500.0,26039.86
187500.0,26103.3
187500.0,26139.69
187500.0,26167.42
187500.0,26156.46
187500.0,26220.48
187500.0,26225.98
187500.0,26202.15
187500.0,26202.15
187500.0,26189.35
187500.0,26196.66
184000.0,25740.03
184000.0,25754.44
184000.0,25781.5
184000.0,25781.5
182000.0,25505.56
182000.0,25534.54
182000.0,25511.63
179000.0,25089.0
179000.0,25100.26
179000.0,25047.58
179000.0,25030.41
179000.0,25045.82
179000.0,25065.11
176000.0,24607.47
172500.0,24140.39
172500.0,24137.01
169500.0,23725.21
169500.0,23742.82
166500.0,23324.23
166500.0,23307.9
166500.0,23326.19
164500.0,23033.09
164500.0,23025.03
161500.0,22694.06
161500.0,22698.84
158500.0,22233.13
154500.0,21628.05
151500.0,21191.18
151500.0,21216.11
151500.0,21218.78
149500.0,20943.66
149500.0,20946.3
149500.0,20964.8
149500.0,21027.91
151500.0,21281.38
155500.0,21828.54
160500.0,22502.94
162500.0,22782.4
172500.0,24209.51
172500.0,24240.12
174500.0,24575.73
174500.0,24596.87
174500.0,24572.62
174500.0,24606.23
174500.0,24596.87
174500.0,24631.93
174500.0,24624.98
174500.0,24617.69
174500.0,24630.19
172500.0,24332.44
172500.0,24353.74
172500.0,24368.88
172500.0,24385.42
170500.0,24112.91
169500.0,24001.36
167500.0,23729.58
167500.0,23713.12
167500.0,23725.88
167500.0,23730.59
167500.0,23741.35
166500.0,23631.43
165000.0,23459.49
165000.0,23485.87
165000.0,23484.2
162000.0,23111.16
162000.0,23132.94
162000.0,23097.98
162000.0,23144.51
162000.0,23166.35
162000.0,23165.03
162000.0,23184.92
162000.0,23195.54
162000.0,23203.19
162000.0,23218.15
162000.0,23205.18
163000.0,23351.77
163000.0,23356.45
165000.0,23661.68
165000.0,23659.31
165000.0,23684.1
145365.0,19722.77
184965.0,23495.8
184965.0,23492.43
156206.0,23667.76
186086.0,18618.28
187207.0,22522.97
188328.0,22669.56
188328.0,22690.76
148008.0,24050.38
188328.0,22753.6
148008.0,24077.49
148008.0,24074.01
188328.0,18943.15
158088.0,22886.31
178248.0,19080.58
148008.0,24244.56
188328.0,19034.55
178248.0,24171.42
179309.0,24174.7
180370.0,24444.99
180370.0,24357.79
190570.0,19092.18
180370.0,24411.38
190570.0,19264.23
149770.0,24462.01
159970.0,24441.45
190570.0,23065.73
190570.0,23123.54
149770.0,23134.26
149770.0,24404.31
149770.0,23128.56
159970.0,24343.72
180370.0,19185.04
159970.0,23119.85
149770.0,23063.06
190570.0,23015.18
159970.0,24317.75
149770.0,20437.19
190570.0,23101.12
159970.0,23138.96
179309.0,24281.49
179309.0,24329.41
159029.0,23108.37
159029.0,23152.54
159029.0,23160.98
,19229.45
178248.0,19130.46
177187.0,24236.34
147127.0,20340.22
147127.0,19027.15
145805.5,20154.28
145805.5,22728.09
144043.5,22425.23
144043.5,23684.73
153853.5,23669.18
183283.5,22425.55
183283.5,19889.79
162000.0,20899.29
171882.0,18403.42
141841.0,19604.85
170821.0,19643.63
170821.0,19635.0
170821.0,23441.7
180481.0,19683.14
141841.0,19677.36
180481.0,23476.5
151501.0,18439.2
178239.0,21849.19
178239.0,19415.54
146325.5,22575.63
163394.0,22402.77
163394.0,18807.47
135674.0,17651.24
135674.0,21302.74
144914.0,21306.5
163394.0,22468.67
163394.0,22480.57
144914.0,21357.05
133912.0,21076.27
161272.0,25118.97
157558.5,24505.17
153845.0,18800.68
136445.0,23900.16
124661.5,19573.04
120256.5,18917.29
126564.5,20999.54
125153.0,20805.76
149093.0,22007.97
141113.0,18426.58
141113.0,18426.03
115851.5,15108.97
114089.5,15878.94
121859.5,15883.39
134216.5,17454.69
131033.5,16991.3
136201.5,17686.06
133959.5,13664.56
125728.5,13558.56
110097.0,17060.06
128915.0,13171.82
119362.5,12894.76
105862.5,15536.87
119362.5,15506.54
104921.5,15368.7
103039.5,12515.57
115649.0,15029.19
102569.0,15061.26
102569.0,15057.71
111405.0,15348.67
109283.0,15059.19
113221.0,13968.59
110979.0,12134.65
85457.0,14182.59
89395.0,11662.21
89395.0,11652.59
83695.0,13870.74
89395.0,10911.85
106495.0,13898.36
104813.5,13671.65
96020.5,13230.26
96020.5,13262.11
79730.5,13260.35
96020.5,11126.36
79730.5,12562.48
81052.0,12768.44
81052.0,12765.04
82814.0,13051.41
